,size,train_scores,test_scores,combs
1192,5,0.7608733777621887,0.7682,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType', 'Country', 'AgeBracket')"
1193,5,0.7606980007015083,0.7642,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType', 'Country', 'ChildrenFlag')"
1194,5,0.7610487548228692,0.7624,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType', 'Income', 'AgeBracket')"
1195,5,0.7607856892318485,0.7632,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType', 'Income', 'ChildrenFlag')"
1196,5,0.7670992634163452,0.7694,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType', 'AgeBracket', 'ChildrenFlag')"
1197,5,0.7601718695194668,0.7656,"('NumberCarsOwned', 'NumberChildrenAtHome', 'EducationType', 'Country', 'Income')"
1198,5,0.7609610662925289,0.7698,"('NumberCarsOwned', 'NumberChildrenAtHome', 'EducationType', 'Country', 'AgeBracket')"
1199,5,0.7603472465801473,0.7688,"('NumberCarsOwned', 'NumberChildrenAtHome', 'EducationType', 'Country', 'ChildrenFlag')"
1200,5,0.7620133286566118,0.7652,"('NumberCarsOwned', 'NumberChildrenAtHome', 'EducationType', 'Income', 'AgeBracket')"
1201,5,0.7616625745352508,0.766,"('NumberCarsOwned', 'NumberChildrenAtHome', 'EducationType', 'Income', 'ChildrenFlag')"
1202,5,0.769291476674851,0.7738,"('NumberCarsOwned', 'NumberChildrenAtHome', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
1203,5,0.7634163451420554,0.77,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Country', 'Income', 'AgeBracket')"
1204,5,0.7618379515959313,0.7674,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Country', 'Income', 'ChildrenFlag')"
1205,5,0.7639424763240968,0.7736,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Country', 'AgeBracket', 'ChildrenFlag')"
1206,5,0.7656085584005612,0.7698,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Income', 'AgeBracket', 'ChildrenFlag')"
1207,5,0.7017713083128727,0.7078,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Married', 'JobType')"
1208,5,0.6994914065240266,0.7086,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Married', 'EducationType')"
1209,5,0.692037881445107,0.6974,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Married', 'Country')"
1210,5,0.7144861452122062,0.7146,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Married', 'Income')"
1211,5,0.69317783233953,0.697,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Married', 'AgeBracket')"
1212,5,0.7001052262364083,0.7084,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Married', 'ChildrenFlag')"
1213,5,0.7030866362679762,0.7118,"('NumberCarsOwned', 'AreaCode', 'Sex', 'JobType', 'EducationType')"
1214,5,0.6993160294633461,0.7104,"('NumberCarsOwned', 'AreaCode', 'Sex', 'JobType', 'Country')"
1215,5,0.6901964223079621,0.6942,"('NumberCarsOwned', 'AreaCode', 'Sex', 'JobType', 'Income')"
1216,5,0.708698702209751,0.7194,"('NumberCarsOwned', 'AreaCode', 'Sex', 'JobType', 'AgeBracket')"
1217,5,0.7089617678007717,0.717,"('NumberCarsOwned', 'AreaCode', 'Sex', 'JobType', 'ChildrenFlag')"
1218,5,0.6998421606453876,0.7094,"('NumberCarsOwned', 'AreaCode', 'Sex', 'EducationType', 'Country')"
1219,5,0.707207997193967,0.7118,"('NumberCarsOwned', 'AreaCode', 'Sex', 'EducationType', 'Income')"
1220,5,0.7014205541915117,0.7128,"('NumberCarsOwned', 'AreaCode', 'Sex', 'EducationType', 'AgeBracket')"
1221,5,0.7076464398456682,0.7148,"('NumberCarsOwned', 'AreaCode', 'Sex', 'EducationType', 'ChildrenFlag')"
1222,5,0.6909856190810242,0.6968,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Country', 'Income')"
1223,5,0.7051911609961417,0.7154,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Country', 'AgeBracket')"
1224,5,0.7048404068747808,0.7114,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Country', 'ChildrenFlag')"
1225,5,0.7095755875131533,0.717,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Income', 'AgeBracket')"
1226,5,0.6894072255349001,0.6944,"('NumberCarsOwned', 'AreaCode', 'Sex', 'Income', 'ChildrenFlag')"
1227,5,0.7145738337425465,0.7228,"('NumberCarsOwned', 'AreaCode', 'Sex', 'AgeBracket', 'ChildrenFlag')"
1228,5,0.6957207997193967,0.7018,"('NumberCarsOwned', 'AreaCode', 'Married', 'JobType', 'EducationType')"
1229,5,0.6980007015082427,0.7034,"('NumberCarsOwned', 'AreaCode', 'Married', 'JobType', 'Country')"
1230,5,0.7139600140301648,0.7136,"('NumberCarsOwned', 'AreaCode', 'Married', 'JobType', 'Income')"
1231,5,0.7039635215713784,0.7086,"('NumberCarsOwned', 'AreaCode', 'Married', 'JobType', 'AgeBracket')"
1232,5,0.6986145212206244,0.706,"('NumberCarsOwned', 'AreaCode', 'Married', 'JobType', 'ChildrenFlag')"
1233,5,0.6975622588565416,0.7058,"('NumberCarsOwned', 'AreaCode', 'Married', 'EducationType', 'Country')"
1234,5,0.7131708172571027,0.718,"('NumberCarsOwned', 'AreaCode', 'Married', 'EducationType', 'Income')"
1235,5,0.7008067344791301,0.7086,"('NumberCarsOwned', 'AreaCode', 'Married', 'EducationType', 'AgeBracket')"
1236,5,0.7012451771308312,0.7058,"('NumberCarsOwned', 'AreaCode', 'Married', 'EducationType', 'ChildrenFlag')"
1237,5,0.7140477025605051,0.716,"('NumberCarsOwned', 'AreaCode', 'Married', 'Country', 'Income')"
1238,5,0.6987022097509645,0.705,"('NumberCarsOwned', 'AreaCode', 'Married', 'Country', 'AgeBracket')"
1239,5,0.694317783233953,0.7,"('NumberCarsOwned', 'AreaCode', 'Married', 'Country', 'ChildrenFlag')"
1240,5,0.7236934408979305,0.727,"('NumberCarsOwned', 'AreaCode', 'Married', 'Income', 'AgeBracket')"
1241,5,0.7122939319537005,0.7138,"('NumberCarsOwned', 'AreaCode', 'Married', 'Income', 'ChildrenFlag')"
1242,5,0.7120308663626798,0.7138,"('NumberCarsOwned', 'AreaCode', 'Married', 'AgeBracket', 'ChildrenFlag')"
1243,5,0.6991406524026658,0.712,"('NumberCarsOwned', 'AreaCode', 'JobType', 'EducationType', 'Country')"
1244,5,0.701508242721852,0.7052,"('NumberCarsOwned', 'AreaCode', 'JobType', 'EducationType', 'Income')"
1245,5,0.7101017186951947,0.72,"('NumberCarsOwned', 'AreaCode', 'JobType', 'EducationType', 'AgeBracket')"
1246,5,0.7098386531041739,0.725,"('NumberCarsOwned', 'AreaCode', 'JobType', 'EducationType', 'ChildrenFlag')"
1247,5,0.7011574886004911,0.7102,"('NumberCarsOwned', 'AreaCode', 'JobType', 'Country', 'Income')"
1248,5,0.7070326201332866,0.7178,"('NumberCarsOwned', 'AreaCode', 'JobType', 'Country', 'AgeBracket')"
1249,5,0.7069449316029464,0.7218,"('NumberCarsOwned', 'AreaCode', 'JobType', 'Country', 'ChildrenFlag')"
1250,5,0.7097509645738338,0.7124,"('NumberCarsOwned', 'AreaCode', 'JobType', 'Income', 'AgeBracket')"
1251,5,0.6779200280603297,0.6788,"('NumberCarsOwned', 'AreaCode', 'JobType', 'Income', 'ChildrenFlag')"
1252,5,0.7167660470010523,0.7278,"('NumberCarsOwned', 'AreaCode', 'JobType', 'AgeBracket', 'ChildrenFlag')"
1253,5,0.6995790950543669,0.7038,"('NumberCarsOwned', 'AreaCode', 'EducationType', 'Country', 'Income')"
1254,5,0.7054542265871624,0.718,"('NumberCarsOwned', 'AreaCode', 'EducationType', 'Country', 'AgeBracket')"
1255,5,0.7058049807085234,0.7224,"('NumberCarsOwned', 'AreaCode', 'EducationType', 'Country', 'ChildrenFlag')"
1256,5,0.7201858996843213,0.7254,"('NumberCarsOwned', 'AreaCode', 'EducationType', 'Income', 'AgeBracket')"
1257,5,0.7078218169063486,0.709,"('NumberCarsOwned', 'AreaCode', 'EducationType', 'Income', 'ChildrenFlag')"
1258,5,0.7130831287267625,0.7288,"('NumberCarsOwned', 'AreaCode', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
1259,5,0.7129077516660821,0.7212,"('NumberCarsOwned', 'AreaCode', 'Country', 'Income', 'AgeBracket')"
1260,5,0.692037881445107,0.6972,"('NumberCarsOwned', 'AreaCode', 'Country', 'Income', 'ChildrenFlag')"
1261,5,0.7158014731673097,0.7296,"('NumberCarsOwned', 'AreaCode', 'Country', 'AgeBracket', 'ChildrenFlag')"
1262,5,0.7089617678007717,0.7134,"('NumberCarsOwned', 'AreaCode', 'Income', 'AgeBracket', 'ChildrenFlag')"
1263,5,0.707558751315328,0.708,"('NumberCarsOwned', 'Sex', 'Married', 'JobType', 'EducationType')"
1264,5,0.6981760785689232,0.7002,"('NumberCarsOwned', 'Sex', 'Married', 'JobType', 'Country')"
1265,5,0.7165029814100315,0.7198,"('NumberCarsOwned', 'Sex', 'Married', 'JobType', 'Income')"
1266,5,0.7171168011224132,0.7252,"('NumberCarsOwned', 'Sex', 'Married', 'JobType', 'AgeBracket')"
1267,5,0.7104524728165555,0.7136,"('NumberCarsOwned', 'Sex', 'Married', 'JobType', 'ChildrenFlag')"
