,size,train_scores,test_scores,combs
120,3,0.6929147667485093,0.6892,"('HomeOwnerFlag', 'JobType', 'Income')"
121,3,0.7004559803577692,0.6972,"('HomeOwnerFlag', 'JobType', 'AgeBracket')"
122,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'JobType', 'ChildrenFlag')"
123,3,0.669677306208348,0.6746,"('HomeOwnerFlag', 'EducationType', 'Country')"
124,3,0.6980007015082427,0.6972,"('HomeOwnerFlag', 'EducationType', 'Income')"
125,3,0.6732725359522974,0.6854,"('HomeOwnerFlag', 'EducationType', 'AgeBracket')"
126,3,0.6671343388284813,0.6798,"('HomeOwnerFlag', 'EducationType', 'ChildrenFlag')"
127,3,0.692037881445107,0.6926,"('HomeOwnerFlag', 'Country', 'Income')"
128,3,0.6677481585408629,0.6744,"('HomeOwnerFlag', 'Country', 'AgeBracket')"
129,3,0.6666082076464398,0.6756,"('HomeOwnerFlag', 'Country', 'ChildrenFlag')"
130,3,0.7038758330410382,0.6986,"('HomeOwnerFlag', 'Income', 'AgeBracket')"
131,3,0.6823044545773412,0.6766,"('HomeOwnerFlag', 'Income', 'ChildrenFlag')"
132,3,0.6715187653454928,0.6744,"('HomeOwnerFlag', 'AgeBracket', 'ChildrenFlag')"
133,3,0.7699929849175727,0.77,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode')"
134,3,0.7717467555243774,0.77,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex')"
135,3,0.773851280252543,0.7816,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married')"
136,3,0.7721851981760786,0.7696,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType')"
137,3,0.7756927393896879,0.774,"('NumberCarsOwned', 'NumberChildrenAtHome', 'EducationType')"
138,3,0.7712206243423361,0.7652,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Country')"
139,3,0.7703437390389337,0.7682,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Income')"
140,3,0.7742897229042441,0.7756,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AgeBracket')"
141,3,0.7692037881445107,0.7696,"('NumberCarsOwned', 'NumberChildrenAtHome', 'ChildrenFlag')"
142,3,0.7035250789196773,0.713,"('NumberCarsOwned', 'AreaCode', 'Sex')"
143,3,0.7007190459487899,0.7172,"('NumberCarsOwned', 'AreaCode', 'Married')"
144,3,0.7032620133286566,0.7192,"('NumberCarsOwned', 'AreaCode', 'JobType')"
145,3,0.7073833742546475,0.714,"('NumberCarsOwned', 'AreaCode', 'EducationType')"
146,3,0.7022097509645738,0.7152,"('NumberCarsOwned', 'AreaCode', 'Country')"
147,3,0.7050157839354613,0.7118,"('NumberCarsOwned', 'AreaCode', 'Income')"
148,3,0.7100140301648544,0.7254,"('NumberCarsOwned', 'AreaCode', 'AgeBracket')"
